 ,Area,Mean,Min,Max
1,0.001,255,255,255
2,0.001,255,255,255
3,0.002,255,255,255
4,0.001,255,255,255
5,0.002,255,255,255
6,0.002,255,255,255
7,0.001,255,255,255
8,0.002,255,255,255
9,0.002,255,255,255
10,0.001,255,255,255
11,0.002,255,255,255
12,0.002,255,255,255
13,0.002,255,255,255
14,0.002,255,255,255
15,0.001,255,255,255
16,0.002,255,255,255
17,0.002,255,255,255
18,0.001,255,255,255
19,0.001,255,255,255
20,0.002,255,255,255
21,0.002,255,255,255
22,0.001,255,255,255
23,0.002,255,255,255
24,0.002,255,255,255
25,0.001,255,255,255
26,0.001,255,255,255
27,0.002,255,255,255
28,0.001,255,255,255
29,0.002,255,255,255
30,0.001,255,255,255
31,0.002,255,255,255
32,0.001,255,255,255
33,0.002,255,255,255
34,0.001,255,255,255
35,0.001,255,255,255
36,0.002,255,255,255
37,0.002,255,255,255
38,0.001,255,255,255
39,0.001,255,255,255
40,0.002,255,255,255
41,0.001,255,255,255
42,0.002,255,255,255
43,0.001,255,255,255
44,0.001,255,255,255
45,0.002,255,255,255
46,0.001,255,255,255
47,0.002,255,255,255
48,0.001,255,255,255
49,0.001,255,255,255
50,0.001,255,255,255
51,0.002,255,255,255
52,0.001,255,255,255
53,0.002,255,255,255
54,0.001,255,255,255
55,0.001,255,255,255
56,0.001,255,255,255
57,0.001,255,255,255
58,0.002,255,255,255
59,0.001,255,255,255
60,0.001,255,255,255
61,0.001,255,255,255
62,0.001,255,255,255
63,0.001,255,255,255
64,0.001,255,255,255
65,0.002,255,255,255
66,0.001,255,255,255
67,0.001,255,255,255
68,0.001,255,255,255
69,0.001,255,255,255
70,0.001,255,255,255
71,0.001,255,255,255
72,0.002,255,255,255
73,0.001,255,255,255
74,0.001,255,255,255
75,0.001,255,255,255
76,0.001,255,255,255
77,0.002,255,255,255
78,0.001,255,255,255
79,0.002,255,255,255
80,0.001,255,255,255
81,0.001,255,255,255
82,0.001,255,255,255
83,0.002,255,255,255
84,0.001,255,255,255
85,0.001,255,255,255
86,0.001,255,255,255
87,0.002,255,255,255
88,0.001,255,255,255
89,0.001,255,255,255
90,0.001,255,255,255
91,0.001,255,255,255
92,0.002,255,255,255
93,0.001,255,255,255
94,0.001,255,255,255
95,0.001,255,255,255
96,0.001,255,255,255
97,0.002,255,255,255
98,0.001,255,255,255
99,0.001,255,255,255
100,0.001,255,255,255
101,0.001,255,255,255
102,0.002,255,255,255
103,0.001,255,255,255
104,0.001,255,255,255
105,0.001,255,255,255
106,0.002,255,255,255
107,0.001,255,255,255
108,0.001,255,255,255
109,0.001,255,255,255
110,0.001,255,255,255
111,0.002,255,255,255
112,0.001,255,255,255
113,0.001,255,255,255
114,0.002,255,255,255
115,0.001,255,255,255
116,0.002,255,255,255
117,0.001,255,255,255
118,0.001,255,255,255
119,0.001,255,255,255
120,0.001,255,255,255
121,0.001,255,255,255
122,0.002,255,255,255
123,0.002,255,255,255
124,0.001,255,255,255
125,0.001,255,255,255
126,0.002,255,255,255
127,0.001,255,255,255
128,0.002,255,255,255
129,0.001,255,255,255
130,0.001,255,255,255
131,0.001,255,255,255
132,0.001,255,255,255
133,0.002,255,255,255
134,0.002,255,255,255
135,0.001,255,255,255
136,0.001,255,255,255
137,0.001,255,255,255
138,0.001,255,255,255
139,0.002,255,255,255
140,0.001,255,255,255
141,0.001,255,255,255
142,0.001,255,255,255
143,0.001,255,255,255
144,0.001,255,255,255
145,0.002,255,255,255
146,0.001,255,255,255
147,0.001,255,255,255
148,0.001,255,255,255
149,0.001,255,255,255
150,0.001,255,255,255
151,0.002,255,255,255
152,0.001,255,255,255
153,0.001,255,255,255
154,0.002,255,255,255
155,0.001,255,255,255
156,0.001,255,255,255
157,0.002,255,255,255
158,0.001,255,255,255
159,0.001,255,255,255
160,0.001,255,255,255
161,0.002,255,255,255
162,0.002,255,255,255
163,0.002,255,255,255
164,0.001,255,255,255
165,0.001,255,255,255
166,0.002,255,255,255
167,0.001,255,255,255
168,0.002,255,255,255
169,0.001,255,255,255
170,0.001,255,255,255
171,0.001,255,255,255
172,0.002,255,255,255
173,0.001,255,255,255
174,0.001,255,255,255
175,0.001,255,255,255
176,0.002,255,255,255
177,0.002,255,255,255
178,0.002,255,255,255
179,0.002,255,255,255
180,0.001,255,255,255
181,0.001,255,255,255
182,0.001,255,255,255
183,0.001,255,255,255
184,0.001,255,255,255
185,0.002,255,255,255
186,0.001,255,255,255
187,0.001,255,255,255
188,0.002,255,255,255
189,0.001,255,255,255
190,0.001,255,255,255
191,0.001,255,255,255
192,0.002,255,255,255
193,0.001,255,255,255
194,0.001,255,255,255
195,0.001,255,255,255
196,0.001,255,255,255
197,0.001,255,255,255
198,0.002,255,255,255
199,0.002,255,255,255
200,0.002,255,255,255
201,0.001,255,255,255
202,0.001,255,255,255
203,0.001,255,255,255
204,0.002,255,255,255
205,0.001,255,255,255
206,0.002,255,255,255
207,0.001,255,255,255
208,0.001,255,255,255
209,0.002,255,255,255
210,0.001,255,255,255
211,0.001,255,255,255
212,0.002,255,255,255
213,0.001,255,255,255
214,0.001,255,255,255
215,0.001,255,255,255
216,0.001,255,255,255
217,0.001,255,255,255
218,0.001,255,255,255
219,0.003,255,255,255
220,0.002,255,255,255
221,0.002,255,255,255
222,0.002,255,255,255
223,0.001,255,255,255
224,0.002,255,255,255
225,0.001,255,255,255
226,0.002,255,255,255
227,0.001,255,255,255
228,0.001,255,255,255
229,0.002,255,255,255
230,0.001,255,255,255
231,0.001,255,255,255
232,0.001,255,255,255
233,0.002,255,255,255
234,0.001,255,255,255
235,0.001,255,255,255
236,0.001,255,255,255
237,0.001,255,255,255
238,0.001,255,255,255
239,0.001,255,255,255
240,0.001,255,255,255
241,0.002,255,255,255
242,0.003,255,255,255
243,0.002,255,255,255
244,0.002,255,255,255
245,0.002,255,255,255
246,0.001,255,255,255
247,0.001,255,255,255
248,0.002,255,255,255
249,0.001,255,255,255
250,0.002,255,255,255
251,0.001,255,255,255
252,0.001,255,255,255
253,0.002,255,255,255
254,0.001,255,255,255
255,0.001,255,255,255
256,0.001,255,255,255
257,0.002,255,255,255
258,0.001,255,255,255
259,0.001,255,255,255
260,0.001,255,255,255
261,0.001,255,255,255
262,0.001,255,255,255
263,0.001,255,255,255
264,0.001,255,255,255
265,0.001,255,255,255
266,0.001,255,255,255
267,0.003,255,255,255
268,0.002,255,255,255
269,0.002,255,255,255
270,0.002,255,255,255
271,0.001,255,255,255
272,0.002,255,255,255
273,0.002,255,255,255
274,0.002,255,255,255
275,0.001,255,255,255
276,0.001,255,255,255
277,0.001,255,255,255
278,0.001,255,255,255
279,0.001,255,255,255
280,0.001,255,255,255
281,0.002,255,255,255
282,0.002,255,255,255
283,0.001,255,255,255
284,0.001,255,255,255
285,0.001,255,255,255
286,0.001,255,255,255
287,0.001,255,255,255
288,0.001,255,255,255
289,0.001,255,255,255
290,0.003,255,255,255
291,0.002,255,255,255
292,0.002,255,255,255
293,0.002,255,255,255
294,0.001,255,255,255
295,0.001,255,255,255
296,0.001,255,255,255
297,0.001,255,255,255
298,0.002,255,255,255
299,0.002,255,255,255
300,0.001,255,255,255
301,0.001,255,255,255
302,0.002,255,255,255
303,0.001,255,255,255
304,0.001,255,255,255
305,0.002,255,255,255
306,0.001,255,255,255
307,0.002,255,255,255
308,0.001,255,255,255
309,0.002,255,255,255
310,0.001,255,255,255
311,0.001,255,255,255
312,0.001,255,255,255
313,0.002,255,255,255
314,0.001,255,255,255
315,0.001,255,255,255
316,0.002,255,255,255
317,0.001,255,255,255
318,0.003,255,255,255
319,0.002,255,255,255
320,0.002,255,255,255
321,0.002,255,255,255
322,0.002,255,255,255
323,0.001,255,255,255
324,0.001,255,255,255
325,0.002,255,255,255
326,0.002,255,255,255
327,0.001,255,255,255
328,0.002,255,255,255
329,0.001,255,255,255
330,0.001,255,255,255
331,0.001,255,255,255
332,0.001,255,255,255
333,0.001,255,255,255
334,0.001,255,255,255
335,0.002,255,255,255
336,0.001,255,255,255
337,0.002,255,255,255
338,0.001,255,255,255
339,0.001,255,255,255
340,0.001,255,255,255
341,0.002,255,255,255
342,0.001,255,255,255
343,0.001,255,255,255
344,0.002,255,255,255
345,0.002,255,255,255
346,0.003,255,255,255
347,0.002,255,255,255
348,0.002,255,255,255
349,0.002,255,255,255
350,0.002,255,255,255
351,0.001,255,255,255
352,0.002,255,255,255
353,0.002,255,255,255
354,0.002,255,255,255
355,0.001,255,255,255
356,0.001,255,255,255
357,0.001,255,255,255
358,0.002,255,255,255
359,0.001,255,255,255
360,0.002,255,255,255
361,0.001,255,255,255
362,0.002,255,255,255
363,0.002,255,255,255
364,0.002,255,255,255
365,0.001,255,255,255
366,0.001,255,255,255
367,0.001,255,255,255
368,0.002,255,255,255
369,0.001,255,255,255
370,0.001,255,255,255
371,0.003,255,255,255
372,0.002,255,255,255
373,0.002,255,255,255
374,0.002,255,255,255
375,0.001,255,255,255
376,0.002,255,255,255
377,0.002,255,255,255
378,0.002,255,255,255
379,0.002,255,255,255
380,0.002,255,255,255
381,0.001,255,255,255
382,0.001,255,255,255
383,0.002,255,255,255
384,0.001,255,255,255
385,0.002,255,255,255
386,0.001,255,255,255
387,0.001,255,255,255
388,0.002,255,255,255
389,0.002,255,255,255
390,0.002,255,255,255
391,0.001,255,255,255
392,0.001,255,255,255
393,0.001,255,255,255
394,0.002,255,255,255
395,0.002,255,255,255
396,0.002,255,255,255
397,0.002,255,255,255
398,0.001,255,255,255
399,0.002,255,255,255
400,0.002,255,255,255
401,0.001,255,255,255
402,0.003,255,255,255
403,0.002,255,255,255
404,0.002,255,255,255
405,0.002,255,255,255
406,0.001,255,255,255
407,0.002,255,255,255
408,0.001,255,255,255
409,0.001,255,255,255
410,0.001,255,255,255
411,0.001,255,255,255
412,0.002,255,255,255
413,0.001,255,255,255
414,0.002,255,255,255
415,0.001,255,255,255
416,0.001,255,255,255
417,0.002,255,255,255
418,0.001,255,255,255
419,0.002,255,255,255
420,0.001,255,255,255
421,0.002,255,255,255
422,0.001,255,255,255
423,0.001,255,255,255
424,0.002,255,255,255
425,0.002,255,255,255
426,0.002,255,255,255
427,0.001,255,255,255
428,0.001,255,255,255
429,0.001,255,255,255
430,0.002,255,255,255
431,0.001,255,255,255
432,0.001,255,255,255
433,0.002,255,255,255
434,0.001,255,255,255
435,0.002,255,255,255
436,0.001,255,255,255
437,0.003,255,255,255
438,0.002,255,255,255
439,0.002,255,255,255
440,0.002,255,255,255
441,0.001,255,255,255
442,0.002,255,255,255
443,0.001,255,255,255
444,0.001,255,255,255
445,0.002,255,255,255
446,0.002,255,255,255
447,0.001,255,255,255
448,0.001,255,255,255
449,0.001,255,255,255
450,0.002,255,255,255
